,n_sig_exp,m_exp,sL_exp,sR_exp,aL_exp,aR_exp,y0_exp,dy_exp,n_sig_exp_err,m_exp_err,sL_exp_err,sR_exp_err,aL_exp_err,aR_exp_err,y0_exp_err,dy_exp_err,n_sig_mc,m_mc,sL_mc,sR_mc,aL_mc,aR_mc,n_sig_mc_err,m_mc_err,sL_mc_err,sR_mc_err,aL_mc_err,aR_mc_err,emeas,n_bkg_exp,n_bkg_exp_err
725.0,69.1929014205845,0.47349765937383204,2.3672357352511693,1.6948917025702945,0.07396035901474918,0.14551651689291475,0.1705918914541802,0.2523828269522954,13.445126980993244,0.3566365460833305,0.43713915397644953,0.48856483606639955,0.016329653810212202,0.01599979135316759,0.17526071373737384,0.5176685603489776,1396.995023567383,0.6160653444158823,2.7020971177125066,2.052477969484516,0.08253636374046969,0.13579610273871556,37.376328345020625,0.2147374032044156,0.16743069123066867,0.17879313345711068,0.004288002362860255,0.007135219037690821,725.498779296875,17.806998295819675,17.218363352535146
737.5,67.41683437338189,-0.009049085811913216,2.07686131839657,2.3842116544170664,0.07309163181481781,0.135158118389348,0.08108695536087396,0.12393164168589954,9.735394129526242,0.39532133708560835,0.34693124514549467,0.4483640296900073,0.013216403089150605,0.01909129571654604,0.10119630827016546,0.2792535583080312,1649.3314484178286,0.2927242133159682,2.3472300290412305,2.08194810596137,0.08065918190801047,0.12297206270511896,40.616134048952745,0.17521353682839713,0.1351843553223302,0.15113177422784818,0.003783775046596327,0.006093027842114518,737.3564453125,8.583166572229423,9.413689069564915
750.0,122.45923666611526,0.9156823510284315,2.929426886272204,2.5339295650593945,0.08708754008260992,0.1427090181746439,3.774758283725532e-13,0.05131454788249501,14.023189436478056,0.42031359175939853,0.359002948641028,0.13397640011687217,0.01161068434746873,0.024484113265765904,0.04671515908243684,0.34140178165413193,2116.9848852865857,0.5843414764354034,2.6560219028039636,2.2179900092819125,0.07992148973178514,0.13030272868973014,46.01053685178363,0.17828086450591307,0.13670250282732188,0.15796979070840078,0.003592301058950309,0.0062031452452626645,750.0142822265625,1.5394364364974988,10.432056835712183
762.0,179.03286500021386,0.1814873212665269,2.356026787008621,2.3062296463781453,0.08395253880754877,0.11577726634469404,0.0,0.39890289037896975,16.176499820286423,0.38779656072613333,0.38645674739718805,0.47708090757401034,0.010239488668224585,0.012357630757401594,0.2306302184763167,0.31505550814565597,2443.0909307004176,0.2646609007438716,2.552438535661173,2.6014674841076353,0.08201178946535659,0.10424265227421181,49.42854117705565,0.16892686325687434,0.12396654322452227,0.14761891891643253,0.003229803987584434,0.005767307045362879,762.7958374023438,11.967086711369092,13.604282844222483
775.0,139.5423086413913,0.4497333356645461,2.8385239793882953,2.412282412010984,0.08388887508834415,0.10995116525922001,0.047601884112741466,0.02002246663357865,13.306950199358653,0.4890182577476474,0.36910835127456076,0.4696974627142727,0.011417768440249353,0.020674088695306243,0.09683763466945439,0.7911246409680148,2913.0179911346445,0.49311780860182974,2.61258038386715,2.2742402450027743,0.07788451052877454,0.12030028613982002,53.97256106336954,0.154117760673242,0.11297179779457633,0.1341671774261255,0.0030021823036424644,0.005174560481804591,774.9962768554688,3.4567870457718475,24.086716822165027
787.5,256.1644188750595,0.3399939786766897,2.336959716833951,1.9942247956583137,0.08207791140969142,0.12812564832834808,0.01587427939044428,0.2626865470176636,19.806731545000545,0.20761587189789088,0.30384679917950175,0.436495299082832,0.011085088231837223,0.014874622858750727,0.21406237948049722,0.4615449916857278,3350.8671844833143,0.3494464116617859,2.537692899175984,2.2317920089892818,0.07647573927322682,0.11993401113136903,57.8855690744133,0.13403941937733688,0.10036659354577293,0.11878360670957266,0.002801086072485026,0.0046720457761817435,787.4085693359375,8.833053173956564,16.559053885143772
800.0,316.0375301238852,-0.48247664960417413,2.2572252333257725,2.2596130749967,0.08816439428027109,0.12522585404064215,1.283613215719015e-10,0.3987140820968802,21.80090659755703,0.19758861672853056,0.37279956125069824,0.49429806356992656,0.006160349514504504,0.018845651453374468,1.114846609282873,0.41466105804060416,3492.9841816626754,0.2680872556687408,2.46032365576266,2.5214984252606256,0.08280268807136004,0.116293476128142,59.100753642425616,0.14011950268827755,0.10154921121851612,0.13094267513605473,0.002680853109578718,0.005055503438596565,799.8670043945312,11.961422470608085,48.907450820534
812.5,420.8579942616002,0.3732859505393593,2.5913061614585793,2.5049295944868657,0.07796142280361634,0.1363060658103859,7.474465490986404e-12,0.5379982109434822,25.09893908149283,0.19900382169002162,0.3312196246969106,0.08516555087392663,0.006267412033750593,0.011428233635425278,0.42845250229147336,0.48007614773407203,3557.000970953316,0.365275899402393,2.403050101265164,2.273218551074316,0.0798476092080258,0.12725384994549116,59.6406222437804,0.13007682446608948,0.09412803009804538,0.11585552170627555,0.002584550336678093,0.0045261079324473985,812.5853881835938,16.139946328752934,23.19169206756059
825.0,336.9475391970511,-0.02184890791401184,2.6298980670595697,2.6710071697249043,0.08008804996388322,0.14207440889590534,2.220446049250313e-16,0.03502833899936619,23.470962399584835,0.31924566153367673,0.31394359882925227,0.4274436801169901,0.008037035143501493,0.014554388872144913,0.10185039574545207,1.1089231561344521,3546.1155110962673,0.2549501839434942,2.4275013905234903,2.662588494918807,0.08013325091687729,0.13134407704186113,59.55042545485912,0.1463724020387116,0.10119833886747664,0.1418988394968146,0.002708576251374273,0.00536516595942671,824.4223022460938,1.0508501699809991,33.54715807925292
837.5,137.7945766493953,0.19957664834822086,2.3171492158726723,2.328174428554528,0.08043352468219578,0.14841372133036435,0.0,0.6401797639113449,15.720515602791949,0.5825202311945357,0.26200706076921,0.273927252440721,0.008850194654239939,0.01370401576095888,0.034197235170932205,0.3718361758611157,3468.953302242472,0.1986337503804645,2.338751653019056,2.390637633558981,0.0856206962326661,0.1384608925036973,58.89744420399438,0.13584395297400365,0.09749892886563272,0.12921163576694106,0.002593585775235163,0.004976414413333519,837.5255737304688,19.205392917340347,11.249041697812379
