,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
675.0,0.05546346872737107,0.01559676644099156,0.02178558350408516,0.32418205943432277,0.0018867720046443492,0.0011063590403400936,0.004178696758356276,0.012492231177609947,0.322245970444962,0.012643823618818384
687.5,0.05882937735682814,0.0158000188712194,0.02111057311340092,0.3283712968848129,0.0019281088682015501,0.001163837942977114,0.003817529386841878,0.012317801579646737,0.32755950022001956,0.012397170917616607
700.0,0.06110476430580902,0.01621522283263127,0.021684503746068062,0.33258055050927005,0.0018820420520933578,0.0010641454947570295,0.0036874734427509437,0.011803897115607975,0.3322864397142836,0.012070651018992407
712.5,0.060527165596326316,0.020154969001314915,0.01861930583484117,0.3365916916663768,0.002711880032462588,0.0014728441862225938,0.003850776468731276,0.015452818017269165,0.32694254634786923,0.015064727769268926
725.0,0.06544410575172538,0.019500307841203157,0.02367382187980288,0.3156118068637018,0.002300804185589256,0.0014731011153699125,0.004123311280423425,0.012559099599579654,0.3124482334241587,0.012357700632307567
737.5,0.06626279838219623,0.020446796599672912,0.02103405646206008,0.3356728867839866,0.002708352175189249,0.0015789901049706734,0.003749657706948767,0.014632284466529671,0.3300916797553298,0.014241675274476784
750.0,0.06831624162494204,0.020726343841304895,0.02065314264615542,0.34200246184111577,0.0026585642158610534,0.0014173973658769268,0.0035181806056676646,0.01419958203067695,0.336854692047378,0.014075663883582445
762.5,0.07406891146934169,0.022901926057718736,0.01813891859348754,0.321550518614378,0.0030104240734514787,0.0016117642696620582,0.0035776238214642875,0.013864903149056751,0.3151964613917692,0.013645353833532714
775.0,0.0723901429874877,0.02362883168622626,0.020653797103275195,0.32016681052768486,0.00322800596170969,0.0018730039745477323,0.003740726926137722,0.0149137926017969,0.31248965794900935,0.014338480727009217
787.5,0.0737145820793913,0.025444305240254372,0.018361620423281932,0.3425083562900915,0.003587802552032504,0.0019286077231193688,0.003444218022253115,0.016610946509277302,0.33088509216823403,0.01594060634356642
800.0,0.07920048251558637,0.023755842750744993,0.02003760856047243,0.3129828580649662,0.003203456404955396,0.001797997538782653,0.0034467164447199716,0.013673264409588465,0.3084798120616783,0.013354303000240986
812.5,0.08733306220161541,0.02278638467971722,0.02334232337003661,0.30086447454750354,0.0029130891981838103,0.0016860188486194638,0.0036092109881460943,0.011642247199067562,0.30151127101132796,0.011786873226099948
825.0,0.08834343415463863,0.021644892224589762,0.026908471926093025,0.28286474165513237,0.00287124379633652,0.001868824922146961,0.003778745244496562,0.0111019984109966,0.2857800806097173,0.011255254745338061
837.5,0.08795835394940366,0.027204917816420704,0.022260365918746305,0.31019877320743094,0.0037125566340042437,0.0021442591561168234,0.003707499467356712,0.014035011258251268,0.3053361881067594,0.013650816264305865
850.0,0.08401913352896467,0.029765188224422978,0.020040712378613157,0.3277859214833987,0.004448064559823495,0.0024260100926898065,0.0035951846843152724,0.01712703244422878,0.31596353978462366,0.01634159069203739
862.5,0.08679552775114979,0.029306372331170116,0.02125583353687327,0.32668138467122676,0.004323227280249614,0.002403525055034411,0.003527146847179141,0.0164348364624054,0.317556372923241,0.015713906979270942
875.0,0.08662276537919128,0.03168866972622292,0.019196912891121076,0.32481707793121556,0.005239494921111726,0.0026469827371420063,0.0035360239489884426,0.018718314384747387,0.3112315527861442,0.017976160669359587
887.5,0.09626821594916113,0.024623290028229217,0.023683674084562678,0.28081048749455184,0.003490137775416957,0.0022376671737432685,0.0034655120949086127,0.011995778865853457,0.2819421486572818,0.011844082570982628
900.0,0.087426854383865,0.03469648871618092,0.017737185639375652,0.33025024995477453,0.005918837806269089,0.0028134514023639423,0.003394454634461891,0.020315581485067458,0.31150945875308617,0.019588571598316784
912.5,0.09854424317111488,0.02976317052097749,0.022431777448668255,0.2970395327092311,0.004172023244663786,0.0023754085887988385,0.0034857308059891845,0.013672328075616136,0.2932475821997208,0.01330154371435005
925.0,0.10022271910172886,0.026676522650644796,0.023793569578846596,0.2803404435305662,0.003948239695976963,0.002389274927026258,0.003455290238801312,0.012665858856719725,0.2806129360140869,0.012461842740582041
