,mu,s,c,N,mu_err,s_err,c_err,N_err,eff0,eff0_err
650.0,0.05063175638462014,0.013213936209733712,0.024219740648119104,0.3141295605164911,0.0014791413367859219,0.000934096152361813,0.004441026511294799,0.010992713517833985,0.31507402665889983,0.011393107685670478
662.5,0.05335141322534953,0.014681635512614644,0.020581844685432615,0.32476969699899455,0.0017407902703638067,0.0010505429946273126,0.004122134611062922,0.01214228866794595,0.32309656585806,0.01228085206504742
675.0,0.054575033914937565,0.015765207949593518,0.021890274755235972,0.31789096647854803,0.0019259974270892655,0.0011150933013918674,0.0042302908913240955,0.012586628958500157,0.3151792208843224,0.012698244688531313
687.5,0.05888670961052406,0.01612688990324751,0.02227414562685609,0.31689268612522037,0.0019963725655816056,0.001242871353658359,0.004073039533071671,0.012322478946139886,0.31593487512987883,0.012351988191127095
700.0,0.06108080138175376,0.015914421529783396,0.022934698140929022,0.32028988286942073,0.0019033314316310168,0.0010995757296799746,0.0038125506285904,0.011617217423965792,0.3208836162001036,0.011907998210821225
712.5,0.0629140236309858,0.019698824346871258,0.020201772259442585,0.3106454697163856,0.0026301406092689994,0.0014412731855368566,0.00410465641580654,0.013807136159261602,0.3046816694071532,0.01367720141873846
725.0,0.06660589886235552,0.019034191415607582,0.023908616714986064,0.30758963374727644,0.002200660285086725,0.0014130514450437226,0.00408810680276786,0.011775398438093165,0.30592120402773826,0.011716651024934466
737.5,0.06633317540281652,0.020088181150173523,0.022224615506673318,0.3252047703775478,0.0026897073479016653,0.0015869555829937376,0.003852998869595864,0.01422378336505059,0.32088780240182824,0.013897916564130752
750.0,0.06943459907768096,0.02132704837129995,0.021323223972054772,0.3222649361701443,0.0028716972890561743,0.0015044791362889554,0.003803679600696941,0.01413776565782407,0.3171734185676656,0.014081755222335846
762.5,0.07156144479902371,0.023341105367121084,0.01814918660413467,0.3228566613327374,0.0031716224852681996,0.0016783312705557496,0.0036117414724043118,0.014778911592991273,0.31433748384426297,0.014433233896231967
775.0,0.0733371368316908,0.023526452623651384,0.021118105395620812,0.31347818343383727,0.0031526673441727437,0.0018166080927193018,0.0038088669209978554,0.014270399318537935,0.3068059916954345,0.013835521929162264
787.5,0.0722484830530915,0.02618480054029554,0.01837958940175427,0.3356484047492602,0.003991171424464229,0.0020287750517865577,0.0036035514359240295,0.017866529549158905,0.3218227446071274,0.01724807124425598
800.0,0.08027990116332667,0.023369269068313936,0.021382828637047657,0.3008122567269087,0.0030956476279305756,0.001824592772705691,0.0035885667188327863,0.0128664722359636,0.29785582479517003,0.012598256630666105
812.5,0.08646330968633648,0.02303612050641607,0.02473627173831422,0.2917235359702143,0.002984593404119079,0.0017700007239770388,0.0037993359525768933,0.011666476998935138,0.29225874785096656,0.011765480349128277
825.0,0.08782546278996523,0.022617381871511355,0.027261841599934833,0.27721565313773233,0.0030750975642362677,0.0019956527772166666,0.00393939810095556,0.011477612727973291,0.2791811468722458,0.011507943785204255
837.5,0.08833180105103688,0.027984295974834872,0.022124205637293448,0.30059051817538585,0.0039512945154965284,0.002221003610040212,0.0038600604490267587,0.01422084634876486,0.2949656887291966,0.013861290631690226
850.0,0.08413663087883783,0.030992307644328754,0.01957068502367082,0.3200956176496515,0.0047574867616536065,0.002527118186933741,0.0037243627615645702,0.017507199081006064,0.3064795817558701,0.016751585097278032
862.5,0.08830083048683479,0.030169460722132002,0.021659798015497722,0.30520083964287237,0.004416953836393123,0.0024511525031493675,0.0037690478270275274,0.015520623590100813,0.29629405033699935,0.014917534631244678
875.0,0.08497676493178569,0.032303668805468366,0.019989009911472844,0.31409151138183367,0.005570887509124323,0.002772122174175662,0.0037346446143924905,0.019237077066924124,0.2992637913560653,0.018526397494722513
887.5,0.09603466459909693,0.025890465397127693,0.02368075939860037,0.27196981417999605,0.0038375676384712065,0.002311710446549403,0.003625382310741887,0.012419969509123163,0.27190752853997113,0.012239478180717744
900.0,0.09180193558409455,0.03379864191362253,0.01945027810100991,0.301288280263748,0.005802304842300654,0.002861701307730974,0.0036725375847537767,0.018114649124731624,0.2884602611807471,0.017493743034684206
912.5,0.09820909704727127,0.031423704532605734,0.0224043335999915,0.2899680578399123,0.004622062421225842,0.0025413687000063745,0.0036643793749985554,0.014359985959626231,0.28426422952321717,0.013938395195744857
925.0,0.10041877405310695,0.026746850549351164,0.0254698050727461,0.26909555741537683,0.004012154130236978,0.002557668926120249,0.003682106719819056,0.012445325889390707,0.2697928750838736,0.012197727171728567
935.0,0.09791135202204393,0.03413113051445771,0.020562467400502438,0.30546769959142067,0.005616691473107033,0.002797617347141207,0.003508759872740713,0.017184449828182402,0.29533803621020965,0.016645106991102
945.0,0.10223830809332629,0.02928552630186232,0.023604403717331413,0.2864326407754783,0.0045602452641899105,0.0025227059976487276,0.003492498285722928,0.013941643127955178,0.2847247840442859,0.01368173153520913
950.0,0.10374128493749751,0.034607178158014285,0.02103685447848508,0.28810946062564824,0.005426595834632647,0.0027687447863603,0.0035928750755551964,0.015323143676225115,0.28047632098965547,0.014913871523478728
962.5,0.10491264323994942,0.034276889564241075,0.02202940789006208,0.28688108772364207,0.0059277067040434395,0.0028009742369383417,0.003687407767444195,0.016290085496651063,0.28036124108843924,0.01608241227544377
975.0,0.10373914676459073,0.035168049999508955,0.020640236508659038,0.2950688067953683,0.005569475446286387,0.0031696768572003764,0.003423953744077196,0.016050595483425134,0.2864807859134993,0.015132362379058906
987.5,0.10274671893309983,0.031840799937234376,0.022626181803306777,0.2939937323276224,0.005156785494531385,0.0027540278730033285,0.0033533593409604545,0.015438542391299437,0.2894250361122987,0.014948599573394505
1000.0,0.10226039070399245,0.04132932512921855,0.021395808771311753,0.31065151774797206,0.0075189675490577035,0.003791847713386226,0.003797476026323021,0.020650490610088668,0.29316646425950044,0.019748908209431093
